duration,onset,trial_type
4.00,0.00,intro
30.00,4.00,1-back
4.00,34.00,intro
30.00,38.00,2-back
4.00,68.00,intro
30.00,72.00,1-back
4.00,102.00,intro
30.00,106.00,2-back
4.00,136.00,intro
30.00,140.00,1-back
4.00,170.00,intro
30.00,174.00,2-back
4.00,204.00,intro
30.00,208.00,1-back
4.00,238.00,intro
30.00,242.00,2-back
4.00,272.00,intro
30.00,276.00,1-back
4.00,306.00,intro
30.00,310.00,2-back
4.00,340.00,intro
30.00,344.00,1-back
4.00,374.00,intro
30.00,378.00,2-back
4.00,408.00,intro
30.00,412.00,1-back
4.00,442.00,intro
30.00,446.00,2-back
4.00,476.00,intro
30.00,480.00,1-back
4.00,510.00,intro
30.00,514.00,2-back
4.00,544.00,intro
30.00,548.00,1-back
4.00,578.00,intro
30.00,582.00,2-back
4.00,612.00,intro
30.00,616.00,1-back
4.00,646.00,intro
30.00,650.00,2-back